"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2023","61.39","61.29","61.86","61.10","157.37K","0.00%"
"02/28/2023","61.39","61.39","62.33","61.29","366.22K","-1.96%"
"02/27/2023","62.62","65.07","65.07","59.97","371.72K","0.30%"
"02/24/2023","62.43","62.33","65.17","61.86","603.64K","0.92%"
"02/23/2023","61.86","60.44","62.33","60.35","144.29K","0.77%"
"02/22/2023","61.39","61.39","65.17","60.44","100.92K","-1.52%"
"02/21/2023","62.33","61.39","62.33","59.50","354.40K","1.23%"
"02/20/2023","61.58","59.22","66.11","59.22","340.99K","3.99%"
"02/17/2023","59.22","58.55","60.44","58.08","446.69K","2.79%"
"02/16/2023","57.61","55.72","58.55","54.78","36.96K","4.81%"
"02/15/2023","54.97","55.72","57.04","54.78","9.03K","-1.36%"
"02/14/2023","55.72","56.67","58.18","54.78","34.61K","-1.67%"
"02/13/2023","56.67","58.18","58.55","55.82","21.76K","-3.23%"
"02/10/2023","58.55","58.46","58.55","57.14","44.09K","0.16%"
"02/09/2023","58.46","57.70","58.55","56.67","35.07K","0.49%"
"02/08/2023","58.18","58.18","58.55","55.82","36.21K","-0.65%"
"02/07/2023","58.55","58.55","59.50","55.72","65.84K","0.00%"
"02/06/2023","58.55","61.29","61.39","56.67","108.97K","-4.32%"
"02/03/2023","61.20","58.55","61.39","58.55","259.76K","6.23%"
"02/02/2023","57.61","55.72","58.08","55.72","363.61K","1.16%"
"02/01/2023","56.95","53.64","57.14","53.27","176.74K","6.16%"
"01/31/2023","53.64","52.42","54.40","52.42","46.80K","1.79%"
"01/30/2023","52.70","51.00","53.64","51.00","35.25K","-2.96%"
"01/27/2023","54.30","52.79","54.49","51.94","106.17K","2.86%"
"01/26/2023","52.79","52.42","52.89","52.04","23.90K","1.64%"
"01/25/2023","51.94","52.89","53.36","51.94","26.14K","-1.79%"
"01/24/2023","52.89","54.40","54.40","52.04","83.29K","-2.95%"
"01/23/2023","54.49","49.77","57.61","49.77","266.22K","9.90%"
"01/20/2023","49.58","47.41","49.68","47.41","35.13K","4.58%"
"01/19/2023","47.41","47.41","48.17","47.32","66.39K","-0.59%"
"01/18/2023","47.69","48.64","48.73","47.41","41.04K","0.00%"
"01/17/2023","47.69","47.32","48.92","47.32","128.82K","0.80%"
"01/13/2023","47.32","47.60","47.69","47.32","26.15K","-1.76%"
"01/12/2023","48.17","47.69","49.02","47.69","20.20K","0.99%"
"01/11/2023","47.69","48.17","49.11","47.50","29.40K","-0.98%"
"01/10/2023","48.17","48.07","49.30","48.07","25.23K","0.59%"
"01/09/2023","47.88","48.17","49.02","47.60","20.72K","-0.59%"
"01/05/2023","48.17","48.64","48.64","47.69","33.34K","-1.16%"
"01/04/2023","48.73","49.58","49.58","48.64","26.81K","-0.77%"
"01/03/2023","49.11","47.98","49.20","47.98","23.19K","2.97%"
"01/02/2023","47.69","47.69","47.98","47.22","45.58K","-0.20%"
"12/30/2022","47.79","47.41","47.88","47.32","21.34K","0.60%"
"12/29/2022","47.50","47.32","47.50","47.22","19.12K","0.20%"
"12/28/2022","47.41","47.50","47.50","47.32","10.82K","-0.20%"
